,Angle,45mm,60mm,75mm
0,0.0,8.934406831382353e-08,1.188185432546836e-07,1.4785195990726152e-07
1,1.0,0.09865140421216094,0.17634849446619089,0.2762807621876935
2,2.0,0.19697101044723325,0.3517946606958832,0.5505170775470462
3,3.0,0.29484081239970605,0.5261328928344166,0.8224024629966622
4,4.0,0.39214402534573417,0.6991608846043021,1.0916378453289002
5,5.0,0.4887650975214858,0.8706798106413988,1.3579314630646635
6,6.0,0.5845899324003878,1.04049434880152,1.620999153967826
7,7.0,0.6795059142497105,1.2084130013648529,1.8805644127042715
8,8.0,0.7734020911019714,1.3742481733735863,2.1363584930865094
9,9.0,0.8661692676010898,1.5378162831844424,2.388120552838019
10,10.0,0.9577000970636333,1.6989380309207762,2.6355975729380514
11,11.0,1.0478891939975135,1.8574383542882535,2.8785444963507443
12,12.0,1.1366332686447258,2.0131466103456797,3.116724202141189
13,13.0,1.2238311662252737,2.1658966015048913,3.349907536150819
14,14.0,1.309384058060173,2.315526808488666,3.5778733070091606
15,15.0,1.3931952128702352,2.4618803689005846,3.8004082766194305
16,16.0,1.4751705343467076,2.604805176498515,4.0173071513268255
17,17.0,1.555218379854273,2.744153953011626,4.228372559638648
18,18.0,1.6332495259750246,2.879784311562068,4.433414994705463
19,19.0,1.7091777476708763,3.011558819274956,4.6322528028431815
20,20.0,1.782919195594608,3.13934503848549,4.824712123609769
21,21.0,1.8543928953340498,3.263015571749761,5.010626854786338
22,22.0,1.9235207113335253,3.3824481121158123,5.189838596640632
23,23.0,1.9902273988705466,3.497525474160768,5.36219659698571
24,24.0,2.054440657139326,3.6081356277155563,5.527557677040663
25,25.0,2.116091180841287,3.714171724210785,5.685786272602738
26,26.0,2.1751127132208876,3.815532118915769,5.83675423399903
27,27.0,2.231442083207362,3.912120403987601,5.980340859422928
28,28.0,2.2850192420442803,4.003845390776981,6.116432823321519
29,29.0,2.3357873321665252,4.090621211411489,6.244924121098674
30,30.0,2.3836927020307312,4.1723672287519555,6.3657160124008065
31,31.0,2.428684916378466,4.249008110613766,6.4787169810503995
32,32.0,2.470716843515428,4.320473826272298,6.5838426693686705
33,33.0,2.5097446451680465,4.386699655365259,6.681015826118613
34,34.0,2.545727816480439,4.447626196110019,6.770166348468399
35,35.0,2.5786292054675144,4.503199370686727,6.85123113361014
36,36.0,2.6084150396488197,4.553370409591638,6.924154048877789
37,37.0,2.635054945166821,4.598095945995783,6.988885999069662
38,38.0,2.6585219654520045,4.637337880909309,7.045384817311374
39,39.0,2.6787925568372826,4.671063480222392,7.093615263633954
40,40.0,2.6958466784535693,4.699245389146647,7.1335490055990345
41,41.0,2.7096677080992984,4.721861566903776,7.165164568416462
42,42.0,2.7202424935138327,4.738895336642873,7.1884475491998785
43,43.0,2.72756134859695,4.750335389574483,7.20339010349165
44,44.0,2.731618127103963,4.756175767986572,7.209991492502726
45,45.0,2.732410135734722,4.756415917694033,7.208257712778185
46,46.0,2.729938148659494,4.751060510291792,7.198201952318405
47,47.0,2.7242064728060758,4.740119814311118,7.179843960730568
48,48.0,2.715222898017658,4.723609330551351,7.153210526142905
49,49.0,2.7029987011354106,4.701549944502494,7.1183353991539065
50,50.0,2.687548642482798,4.673967869930896,7.075259281078169
51,51.0,2.6688909620892405,4.640894876823193,7.02402987055302
52,52.0,2.6470473694239183,4.602367937283214,6.9647018929306705
53,53.0,2.6220430284836156,4.558429489537156,6.897337136140484
54,54.0,2.593906551880144,4.50912734621434,6.822004493881759
55,55.0,2.5626699812020557,4.454514701244549,6.73877998704053
56,56.0,2.5283687700179143,4.394650133270991,6.647746907737766
57,57.0,2.491041764642058,4.329597600961584,6.548995675507001
58,58.0,2.450731182378565,4.259426439928274,6.4426242942108605
59,59.0,2.407482606356715,4.1842113505578755,6.3287374822800935
60,60.0,2.3613448888056605,4.104032417869691,6.20744793777566
61,61.0,2.3123702181776293,4.018975003623305,6.078875430097633
62,62.0,2.260614034703014,3.929129987076094,5.9431477990175665
63,63.0,2.2061349228136415,3.8345934258216783,5.80039990512404
64,64.0,2.148994840459825,3.7354667226239107,5.650774399010452
65,65.0,2.0892587313582855,3.631856613747371,5.494421593759021
66,66.0,2.026994681670161,3.5238750251083863,5.331499546374648
67,67.0,1.9622738423540707,3.411639225606519,5.162174039739656
68,68.0,1.8951703679532914,3.2952715079393697,4.986618703435887
69,69.0,1.825761366969159,3.1748996442226107,4.805014979186839
70,70.0,1.7541268128175358,3.0506562860778628,4.617552144192659
71,71.0,1.680349611965297,2.9226792516904543,4.42442765081654
72,72.0,1.6045153569950694,2.7911113924909356,4.225846666573423
73,73.0,1.5267123790651622,2.6561005396397497,4.0220223816160665
74,74.0,1.4470316496187516,2.517799440100995,3.81317598640144
75,75.0,1.3655667075497797,2.376365657591799,3.599536639336008
76,76.0,1.2824135714940934,2.2319616321330917,3.3813414674320175
77,77.0,1.197670705064234,2.0847544066639245,3.1588356826650283
78,78.0,1.111438872207548,1.9349156620713888,2.9322723680959415
79,79.0,1.0238210876247027,1.7826216045514078,2.70191257714268
80,80.0,0.934922524171558,1.6280528730247654,2.4680252921549966
81,81.0,0.844850421499003,1.471394424404644,2.230887382698765
82,82.0,0.7537139998274919,1.3128355032716192,1.9907836267143675
83,83.0,0.6616243882865043,1.1525694120644767,1.7480066419357327
84,84.0,0.5686944394692758,0.9907937124605545,1.5028570469184528
85,85.0,0.4750387824422799,0.827709691194559,1.2556431602098261
86,86.0,0.38077366759728964,0.6635228524865683,1.0066815869856147
87,87.0,0.2860169340211704,0.49844244737118415,0.7562972724106638
88,88.0,0.19088802254809947,0.33268212137770853,0.504823971248148
89,89.0,0.09550800066702199,0.1664599551790284,0.25260573009103976
90,90.0,3.367714749239677e-16,5.893573398452804e-16,8.970783655147673e-16
